author,commit_count,active_days,total_days,activity_ratio
12www,10,1,1,1.0
13,1,1,1,1.0
13 Miles,4,1,1,1.0
130011216-myseneca,2,1,1,1.0
1337,1,1,1,1.0
13402208,1,1,1,1.0
136MasterNR,1,1,1,1.0
136ms,1,1,1,1.0
136muneebshouket,3,1,1,1.0
13Aluminium,9,1,1,1.0
13Dominik,1,1,1,1.0
13Mai13,1,1,1,1.0
13denis13,2,1,1,1.0
13gbc,1,1,1,1.0
13r0ck,2,1,1,1.0
144234,1,1,1,1.0
14felixbett,1,1,1,1.0
159910g,3,1,1,1.0
15astro,1,1,1,1.0
15minute-card-game,5,1,1,1.0
15night,1,1,1,1.0
15peaces,1,1,1,1.0
160R,4,1,1,1.0
1655525068,1,1,1,1.0
17,1,1,1,1.0
1716002875,1,1,1,1.0
1732889554@qq.com,13,1,1,1.0
1752858040@qq.com,1,1,1,1.0
1762757171,1,1,1,1.0
178,3,1,1,1.0
17bcs4510,3,1,1,1.0
17hao,2,1,1,1.0
1801BM1,1,1,1,1.0
182Marco,1,1,1,1.0
184.66.130.12,1,1,1,1.0
18696232390,4,1,1,1.0
18rajgupta,1,1,1,1.0
190.46.33.187,1,1,1,1.0
1900690,2,1,1,1.0
1905816,1,1,1,1.0
19750497,1,1,1,1.0
1984tatsuya0610,4,1,1,1.0
1985makarovdenis1985,3,1,1,1.0
198609295210,1,1,1,1.0
19920513,727,1,1,1.0
19as601-ryusei,1,1,1,1.0
19年梦醒,1,1,1,1.0
1BABAYKA1,1,1,1,1.0
1Benz,5,1,1,1.0
1Chickxn,1,1,1,1.0
1Hosts [bot],2,1,1,1.0
1KingofClayland,1,1,1,1.0
1Kostik,1,1,1,1.0
1Laggy1,6,1,1,1.0
1Macchiato,2,1,1,1.0
1NG4M3,1,1,1,1.0
1OVERing,1,1,1,1.0
1PEY,1,1,1,1.0
1RJB,2,1,1,1.0
1aerostorm,2,1,1,1.0
1chello,7,1,1,1.0
1domybest,3,1,1,1.0
1fbr,6,1,1,1.0
1ibrarian,20,1,1,1.0
1ike,2,1,1,1.0
1ilkwon,3,1,1,1.0
1ilsang,5,1,1,1.0
1jtp8sobiu,3,1,1,1.0
1knueller,1,1,1,1.0
1lugesya,1,1,1,1.0
1mPink,1,1,1,1.0
1mara,1,1,1,1.0
1mcleancoder,1,1,1,1.0
1naccessible,1,1,1,1.0
1nonly,1,1,1,1.0
1oleg1988,2,1,1,1.0
1over137,1,1,1,1.0
1owol,1,1,1,1.0
1rb,10,1,1,1.0
1sreal,3,1,1,1.0
1stWizard,1,1,1,1.0
1stdomonov,2,1,1,1.0
1technophile,20,1,1,1.0
1um1n0517y01,3,1,1,1.0
1ups_,2,1,1,1.0
1urt3t,2,1,1,1.0
1vanK,2,1,1,1.0
1xtend,1,1,1,1.0
1zyao,9,1,1,1.0
2,5,1,1,1.0
20020421,1,1,1,1.0
200244454DAVID,1,1,1,1.0
200~ZakiJozef,3,1,1,1.0
20100dbg,1,1,1,1.0
2011140089h,3,1,1,1.0
20163093,3,1,1,1.0
201724554,2,1,1,1.0
2017B4A70750G,2,1,1,1.0
2018007956,1,1,1,1.0
20195126,1,1,1,1.0
202 ecommerce,2,1,1,1.0
2020303343,1,1,1,1.0
20203174,1,1,1,1.0
20220310,3,1,1,1.0
2022cont,4,1,1,1.0
2023kira2023,1,1,1,1.0
2024bbrodeur,3,1,1,1.0
2036saharsha,1,1,1,1.0
2048000009,2,1,1,1.0
2080524785,1,1,1,1.0
20849wei,6,1,1,1.0
20eleven,1,1,1,1.0
2103364,1,1,1,1.0
210366569,1,1,1,1.0
2105986,1,1,1,1.0
210ethan,1,1,1,1.0
21900162,1,1,1,1.0
21kyu,1,1,1,1.0
21toffy,5,1,1,1.0
22006204,3,1,1,1.0
220278cs03,2,1,1,1.0
22046-NelsonEscalante,3,1,1,1.0
2244jhalak,4,1,1,1.0
226YZY,1,1,1,1.0
2288-256-sub,23,1,1,1.0
2288256-sub,23,1,1,1.0
229258,2,1,1,1.0
2298269347@qq.com,3,1,1,1.0
229914 Kobusiński Aleksander,2,1,1,1.0
22A91A04O3,4,1,1,1.0
22MCA10031,1,1,1,1.0
22Nathan,1,1,1,1.0
22P31A0444,4,1,1,1.0
22P31A0523,1,1,1,1.0
23,2,1,1,1.0
2351548518,1,1,1,1.0
236662,14,1,1,1.0
236694 Wielgus Michal,2,1,1,1.0
23HYUN,1,1,1,1.0
240285kkk,12,1,1,1.0
2427768286,3,1,1,1.0
2449013332,1,1,1,1.0
2476724680,1,1,1,1.0
24flopp,18,1,1,1.0
24suixinsuoyu,3,1,1,1.0
2567176308,1,1,1,1.0
2573874409@qq.com,6,1,1,1.0
26071,1,1,1,1.0
26478636,1,1,1,1.0
267obara,4,1,1,1.0
2731999,12,1,1,1.0
278959188,2,1,1,1.0
27tr,1,1,1,1.0
280403,1,1,1,1.0
282330332,1,1,1,1.0
2851999,4,1,1,1.0
28Rostyk,1,1,1,1.0
2926201572@qq.com,3,1,1,1.0
296406598,1,1,1,1.0
2A2U,1,1,1,1.0
2Bid,1,1,1,1.0
2G,1,1,1,1.0
2Kelvin,1,1,1,1.0
2MP2,2,1,1,1.0
2QLuu,7,1,1,1.0
2akash,1,1,1,1.0
2anGel1,3,1,1,1.0
2danlv,1,1,1,1.0
2dongsik2,21,1,1,1.0
2etanas,1,1,1,1.0
2hardcurrency,6,1,1,1.0
2hwk,1,1,1,1.0
2imfatx,2,1,1,1.0
2minutebtc,4,1,1,1.0
2ne1ugly,2,1,1,1.0
2nil,1,1,1,1.0
2rlo,4,1,1,1.0
2run66,1,1,1,1.0
2sel,13,1,1,1.0
2seunghoon,3,1,1,1.0
2xer,1,1,1,1.0
2zyoon,3,1,1,1.0
301choso,1,1,1,1.0
30266,4,1,1,1.0
30secondsofcode,1,1,1,1.0
310-K,1,1,1,1.0
3127595118,3,1,1,1.0
314257smcag2,8,1,1,1.0
3143047748,1,1,1,1.0
31519,1,1,1,1.0
31VS1,4,1,1,1.0
31grudnia,1,1,1,1.0
325VKL,2,1,1,1.0
32kgold,2,1,1,1.0
33,2,1,1,1.0
33099,1,1,1,1.0
33212donadona,1,1,1,1.0
339rama,2,1,1,1.0
33Shivam,8,1,1,1.0
33lacru,1,1,1,1.0
34308,1,1,1,1.0
34Maryna,2,1,1,1.0
34RHC,3,1,1,1.0
35kartal35,1,1,1,1.0
365tv,4,1,1,1.0
369geofreeman,2,1,1,1.0
3782291211,2,1,1,1.0
380°,1,1,1,1.0
38482,1,1,1,1.0
3A35,1,1,1,1.0
3CNan,1,1,1,1.0
3CSTVZY,1,1,1,1.0
3D Experiments,1,1,1,1.0
3DJ,1,1,1,1.0
3DZDesign,1,1,1,1.0
3JoB,1,1,1,1.0
3SHAPE\Oksana Zaporozhets,3,1,1,1.0
3akare,3,1,1,1.0
3ami7,1,1,1,1.0
3bbiss,1,1,1,1.0
3djc,2,1,1,1.0
3fffff,1,1,1,1.0
3ielzinh,1,1,1,1.0
3k5m,1,1,1,1.0
3ll3d00d,2,1,1,1.0
3m1n3nc3,2,1,1,1.0
3nd3r1,1,1,1,1.0
3nt3,6,1,1,1.0
3recep,5,1,1,1.0
3rickbat,1,1,1,1.0
3shin44,1,1,1,1.0
3urobeat,6,1,1,1.0
3viale,2,1,1,1.0
3y,2,1,1,1.0
403167120,1,1,1,1.0
404-Not-GET,3,1,1,1.0
408411029,1,1,1,1.0
41.146.2.248,1,1,1,1.0
4110E012,2,1,1,1.0
417-72KI,1,1,1,1.0
42-max,1,1,1,1.0
420ss,2,1,1,1.0
422404,1,1,1,1.0
42arch,4,1,1,1.0
42bahn,2,1,1,1.0
42clesaffr,1,1,1,1.0
4399qianye,1,1,1,1.0
4420261,1,1,1,1.0
444783764,13,1,1,1.0
449sabu,2,1,1,1.0
44East,2,1,1,1.0
44maker,1,1,1,1.0
456477617264,1,1,1,1.0
4637-hafsa,1,1,1,1.0
469961,1,1,1,1.0
47Nguyen,17,1,1,1.0
4DHOI,4,1,1,1.0
4LL4HSIZBUGRA,6,1,1,1.0
4RK4N,1,1,1,1.0
4arturas,1,1,1,1.0
4bdeladim,1,1,1,1.0
4cello,1,1,1,1.0
4changer,3,1,1,1.0
4fury-c3440d8,3,1,1,1.0
4lessandrodev,1,1,1,1.0
4lrq,2,1,1,1.0
4ltru1st,6,1,1,1.0
4maziar,2,1,1,1.0
4multimedia,1,1,1,1.0
4nalog,4,1,1,1.0
4ommyx,1,1,1,1.0
4ra1n,6,1,1,1.0
4skinSkywalker,1,1,1,1.0
4t145,1,1,1,1.0
4telly,1,1,1,1.0
4workacc,2,1,1,1.0
4z0t,5,1,1,1.0
5-whys,6,1,1,1.0
504brandon,1,1,1,1.0
510004015,4,1,1,1.0
518651,1,1,1,1.0
523ChloeL,4,1,1,1.0
52617365,2,1,1,1.0
52znn,1,1,1,1.0
536wfr,2,1,1,1.0
555Z555,7,1,1,1.0
55Honey,11,1,1,1.0
55vishal,1,1,1,1.0
570295535,4,1,1,1.0
59,1,1,1,1.0
591199736,1,1,1,1.0
5HT,1,1,1,1.0
5T33Z0,23,1,1,1.0
5a6r1na,4,1,1,1.0
5adc5ff7-6ef9-4005-84b8-7058cc628f23,1,1,1,1.0
5chr3dd3rku3k3n,2,1,1,1.0
5ec1cff,1,1,1,1.0
5hyun,1,1,1,1.0
5idneyD,7,1,1,1.0
5jeong,1,1,1,1.0
5l4wek,1,1,1,1.0
5points,1,1,1,1.0
5put,1,1,1,1.0
5t00g1t,1,1,1,1.0
5t3ph,1,1,1,1.0
5tepan,1,1,1,1.0
5thjulypiyus,1,1,1,1.0
5uperdan,1,1,1,1.0
5witchkr,1,1,1,1.0
5yon,1,1,1,1.0
6040H0K,1,1,1,1.0
627km,1,1,1,1.0
627md-Tajul-Islam,2,1,1,1.0
63428_Akshay,1,1,1,1.0
64J0,1,1,1,1.0
652943950@qq.com,7,1,1,1.0
6543,5,1,1,1.0
660e,1,1,1,1.0
662611034,9,1,1,1.0
666Parzival666,1,1,1,1.0
682x,3,1,1,1.0
69Degenerate,2,1,1,1.0
6KEERTHI,1,1,1,1.0
6ara,1,1,1,1.0
6cUbi57z,2,1,1,1.0
6dean,1,1,1,1.0
6ha,16,1,1,1.0
6hislain,2,1,1,1.0
6j9,2,1,1,1.0
6onza,9,1,1,1.0
6peng,1,1,1,1.0
6yp4uk,3,1,1,1.0
7.5doubleEye,1,1,1,1.0
70.173.198.234,1,1,1,1.0
700REGGAL,1,1,1,1.0
702573N M4275CH1NK3,1,1,1,1.0
703joko,1,1,1,1.0
706com,1,1,1,1.0
71.196.109.17,2,1,1,1.0
7104186,1,1,1,1.0
74616D61796F,8,1,1,1.0
77,1,1,1,1.0
771073216,2,1,1,1.0
777-Vetal-777,1,1,1,1.0
777388,2,1,1,1.0
777WhiteBear777,3,1,1,1.0
777nx,3,1,1,1.0
777zzzzz,7,1,1,1.0
77detailing,4,1,1,1.0
77kkyu,1,1,1,1.0
77msd,1,1,1,1.0
77yes,1,1,1,1.0
78jj,1,1,1,1.0
7BioHazard,1,1,1,1.0
7FengLou,1,1,1,1.0
7Reaper7,1,1,1,1.0
7Wate,7,1,1,1.0
7a1c0n,1,1,1,1.0
7c6f434c,2,1,1,1.0
7dog123,1,1,1,1.0
7dudtj,1,1,1,1.0
7evenStudios,1,1,1,1.0
7gxycn08,1,1,1,1.0
7h30,1,1,1,1.0
7isenko,3,1,1,1.0
7lek,1,1,1,1.0
7oSkaaa,17,1,1,1.0
7oxP,1,1,1,1.0
7plus,18,1,1,1.0
7scaiman,1,1,1,1.0
7tonic,1,1,1,1.0
8-BitCentral,8,1,1,1.0
8-u,3,1,1,1.0
80122,1,1,1,1.0
8086021001,2,1,1,1.0
80r151a,1,1,1,1.0
81062,1,1,1,1.0
81Hari,1,1,1,1.0
81ack0ut,5,1,1,1.0
82109,1,1,1,1.0
8220975,1,1,1,1.0
834628,1,1,1,1.0
84634E1A607A,1,1,1,1.0
847457846@qq.com,1,1,1,1.0
84Ruk,1,1,1,1.0
86159,2,1,1,1.0
86sea,1,1,1,1.0
87650,4,1,1,1.0
89882,1,1,1,1.0
8BitRav3n,1,1,1,1.0
8arachim,8,1,1,1.0
8bd8,19,1,1,1.0
8hEFq5JzQ59XG5oxl2kU,1,1,1,1.0
8ty,6,1,1,1.0
900ugurgunes,1,1,1,1.0
907460,1,1,1,1.0
90824109,2,1,1,1.0
91.59.179.241,1,1,1,1.0
911-Budurlean-Andrei,1,1,1,1.0
912-Cotor-Catinca,2,1,1,1.0
912-Dinu-TeodorGabriel,11,1,1,1.0
913-Iulia-Ioana-Farcas,4,1,1,1.0
915-nistor-robert,3,1,1,1.0
916-Preda-Andrei,4,1,1,1.0
917_Zachman_Roxana,1,1,1,1.0
92796110+RyanBriggsDev@users.noreply.github.com,1,1,1,1.0
92castro,1,1,1,1.0
92jackson,7,1,1,1.0
945KM,4,1,1,1.0
94i87,1,1,1,1.0
955-hb,1,1,1,1.0
95BluEyeS,2,1,1,1.0
95ImadEL,1,1,1,1.0
95leon,2,1,1,1.0
964293341,1,1,1,1.0
96566,1,1,1,1.0
96LawDawg,2,1,1,1.0
96smilepeace,2,1,1,1.0
96sunghyun,2,1,1,1.0
97Kzone,1,1,1,1.0
97fangz,4,1,1,1.0
97hackbrian,1,1,1,1.0
9826HZg,1,1,1,1.0
98aj,1,1,1,1.0
99999999999999urmom,1,1,1,1.0
999BZ,1,1,1,1.0
99TheDark,24,1,1,1.0
9Alla9,2,1,1,1.0
9Dam7,3,1,1,1.0
9T9 IT,1,1,1,1.0
9jahotblog,1,1,1,1.0
9jatechboi,2,1,1,1.0
9odn3ws,1,1,1,1.0
9t8,2,1,1,1.0
9yippee,1,1,1,1.0
=,84,1,1,1.0
=Jesus Arrazola,1,1,1,1.0
=Paramita,4,1,1,1.0
=armada6199,1,1,1,1.0
=dogukankoc,1,1,1,1.0
@BK_code,1,1,1,1.0
@Bipul Rahi,4,1,1,1.0
@KXS1310,12,1,1,1.0
@Lavesh-Saluja,1,1,1,1.0
@RandyMcMillan,1,1,1,1.0
@Sriw,1,1,1,1.0
@andatoshiki,38,1,1,1.0
@andrecampos,1,1,1,1.0
@beatrizsoares,2,1,1,1.0
@dlemetin,1,1,1,1.0
@dm61,3,1,1,1.0
@fgcoca,2,1,1,1.0
@hexlet/cli,8,1,1,1.0
@humberto_guiracocha,21,1,1,1.0
@ibrahimsarder96,2,1,1,1.0
@johnya0,1,1,1,1.0
@ldione,2,1,1,1.0
@lizhiyu3,5,1,1,1.0
@lukin,5,1,1,1.0
@manu_ravi_official,1,1,1,1.0
@mjustine.65,2,1,1,1.0
@monika.sw,3,1,1,1.0
@onon1101,9,1,1,1.0
@racascou,7,1,1,1.0
@rafavg77,60,1,1,1.0
@reeeray,2,1,1,1.0
@shota,4,1,1,1.0
@zwcrowley-qczvvO,1,1,1,1.0
A,5,1,1,1.0
A Ahmad,1,1,1,1.0
A M Rizal,2,1,1,1.0
A S H I S H,1,1,1,1.0
A Williamson,1,1,1,1.0
A Z M Monir Hossain,2,1,1,1.0
A committer,16,1,1,1.0
A miscellaneous Fern,1,1,1,1.0
A-Aboshahba,1,1,1,1.0
A-Amirul84,2,1,1,1.0
A-Apkhanov,2,1,1,1.0
A-Awad1,7,1,1,1.0
A-Finger,39,1,1,1.0
A-Hoblit,1,1,1,1.0
A-IdrissiHamza,2,1,1,1.0
A-Jatana,2,1,1,1.0
A-Loot,1,1,1,1.0
A-Michele,12,1,1,1.0
A-O-Emmanuel,1,1,1,1.0
A-Wadhwani,2,1,1,1.0
A-Walrus,2,1,1,1.0
A-islander,1,1,1,1.0
A-poc,1,1,1,1.0
A. Developers,1,1,1,1.0
A. Feyzullah YILDIZ,4,1,1,1.0
A. Lloyd Flanagan,2,1,1,1.0
A. Maslarov,12,1,1,1.0
A. Sophie Blee-Goldman,2,1,1,1.0
A. Unique TensorFlower,6,1,1,1.0
A.B. Samma,1,1,1,1.0
A.Doyle,1,1,1,1.0
A.Hafez,2,1,1,1.0
A.Kostadinov,1,1,1,1.0
A.Shevchenko,1,1,1,1.0
A.YOGUN,1,1,1,1.0
A.Yamamoto,3,1,1,1.0
A.karati,2,1,1,1.0
A0nameless0man,2,1,1,1.0
A1,1,1,1,1.0
A10001986,2,1,1,1.0
A1234l,1,1,1,1.0
A1beron,4,1,1,1.0
A1exsandro,2,1,1,1.0
A1lo,3,1,1,1.0
A1zen-Sosuk3,1,1,1,1.0
A248,1,1,1,1.0
A3438440887,4,1,1,1.0
A4Hunter,2,1,1,1.0
A4R7bluep,6,1,1,1.0
A4akashb,1,1,1,1.0
A60,1,1,1,1.0
A6u7H,1,1,1,1.0
A896815194,3,1,1,1.0
A8978,1,1,1,1.0
AA,2,1,1,1.0
AAA1459,2,1,1,1.0
AAA3A,6,1,1,1.0
AAAA-Wumeng,1,1,1,1.0
AAABBBCCCAAAA,11,1,1,1.0
AADITYA PRASAD,1,1,1,1.0
AANANDHENE M,2,1,1,1.0
AARON,1,1,1,1.0
AASAITHAMBI57,2,1,1,1.0
AASUN,1,1,1,1.0
AASanusi,1,1,1,1.0
AAYUSH PALIWAL,4,1,1,1.0
AAli02,1,1,1,1.0
AAmir007-code,1,1,1,1.0
AB,1,1,1,1.0
AB Siddik,1,1,1,1.0
ABDALLAH-ATGUIRI,2,1,1,1.0
ABDUL ALI WALLANA,2,1,1,1.0
ABDULLAHOZKOC,4,1,1,1.0
ABDULRHMAN MOHAMMED A ALMEHDAR,9,1,1,1.0
ABHIRAMI P S,1,1,1,1.0
ABHISEK KUMAR,1,1,1,1.0
ABHISHEK KR. GUPTA,3,1,1,1.0
ABHISHEK KUMAR,3,1,1,1.0
ABHISHEK KUMAR DUBEY,1,1,1,1.0
ABHISHEK SAINI,4,1,1,1.0
ABHISHEK VISHWAKARMA,1,1,1,1.0
ABHISHEK YADAV,2,1,1,1.0
ABN.dev.01,1,1,1,1.0
ABRIEL-Corentin,4,1,1,1.0
ABS,1,1,1,1.0
ABU SAYED,1,1,1,1.0
ABU SHAIM,1,1,1,1.0
ABarchuk1976,1,1,1,1.0
ABeltramo,5,1,1,1.0
ABerg,1,1,1,1.0
ABigDumbBear,1,1,1,1.0
ABiviano13,1,1,1,1.0
ABoehlen,1,1,1,1.0
ABogunets,1,1,1,1.0
ACB-prgm,1,1,1,1.0
ACGaming,1,1,1,1.0
ACHDAirQuality,7,1,1,1.0
ACL2 Build Server,1,1,1,1.0
ACM-Anik,2,1,1,1.0
ACO,1,1,1,1.0
AChristabel,1,1,1,1.0
ACompleteNoobSmoke,2,1,1,1.0
ACtheCoder,1,1,1,1.0
AD17YAKR,1,1,1,1.0
AD94470772,1,1,1,1.0
ADD-Faun,2,1,1,1.0
ADEOYE Adefemi,1,1,1,1.0
ADEYA DAVID ODUOR,5,1,1,1.0
ADG08,1,1,1,1.0
ADICCFUTS1,5,1,1,1.0
ADIR BEN SHIMOL,1,1,1,1.0
ADITHYA G,1,1,1,1.0
ADMIN-GANEMO,1,1,1,1.0
ADRian123L,2,1,1,1.0
ADVAIT GURUNATH CHAVAN,12,1,1,1.0
ADe,2,1,1,1.0
ADefWebserver,3,1,1,1.0
ADepope,1,1,1,1.0
ADesBiysk,1,1,1,1.0
ADudin,1,1,1,1.0
AE,1,1,1,1.0
AEkaterina,1,1,1,1.0
AFCMS,34,1,1,1.0
AFindeis,3,1,1,1.0
AFlat,2,1,1,1.0
AG,3,1,1,1.0
AGDDoS-bot,5,1,1,1.0
AGESILAS Ludovic,1,1,1,1.0
AGM1968,1,1,1,1.0
AGMBK,1,1,1,1.0
AGSugar,4,1,1,1.0
AGuerand,2,1,1,1.0
AHD ALZAKWNI,1,1,1,1.0
AHED200,1,1,1,1.0
AHM-Moinuddin-Sami,1,1,1,1.0
AHMAD KALASH,1,1,1,1.0
AHMAD-KHATIB,4,1,1,1.0
AHMED SHMELS MUHE,3,1,1,1.0
AHMahi,1,1,1,1.0
AHN,1,1,1,1.0
AHNP80,5,1,1,1.0
AHOUNOU Folabi,2,1,1,1.0
AHUIQING,154,1,1,1.0
AHardiment,2,1,1,1.0
AHorhuts,3,1,1,1.0
AHua773,1,1,1,1.0
AI Lab x Galala University,1,1,1,1.0
AI18527,1,1,1,1.0
AIChatGPT,4,1,1,1.0
AIDA AZIZ,2,1,1,1.0
AIEX-PC,2,1,1,1.0
AIRbauer,1,1,1,1.0
AIZAWA Hina,1,1,1,1.0
AIboy996,1,1,1,1.0
AJ,1,1,1,1.0
AJ Kerrigan,1,1,1,1.0
AJ ONeal,1,1,1,1.0
AJ Tran,1,1,1,1.0
AJ197028,3,1,1,1.0
AJAY TIWARI,3,1,1,1.0
AJBats,2,1,1,1.0
AJCM-git,1,1,1,1.0
AJEET SINGH,1,1,1,1.0
AJIyanu,1,1,1,1.0
AJR,1,1,1,1.0
AJSVB,2,1,1,1.0
AJVelezRueda,2,1,1,1.0
AJawat,1,1,1,1.0
AJeannae,2,1,1,1.0
AK,1,1,1,1.0
AKASH KUMAR RAKSHIT,1,1,1,1.0
AKASH SOLANKI,1,1,1,1.0
AKINTEMTJ,6,1,1,1.0
AKMALJON YUSUPOV,1,1,1,1.0
AKR0SS,5,1,1,1.0
AKS,1,1,1,1.0
AKS-V02,1,1,1,1.0
AKSHAT BANSAL,1,1,1,1.0
AKSHAT GUPTA,4,1,1,1.0
AKSHAY ANIL,2,1,1,1.0
